setor,total,ouro,prata,pipeline,valor_setor
MINERACAO,18493,82,92,26,94891950915.3900004966441485
ENERGIA,3394,41,90,391,1324216824063.95999996
LATICINIOS,759,17,0,0,5380000000
INDUSTRIAL,730,43,11,144,180540117714.00
PORTUARIO,656,23,1,21,119166912083.92
FRIGORIFICO,502,34,1,0,15460000000
INFRAESTRUTURA,425,21,33,111,332284703132.05
LOGISTICO,255,11,0,44,594803325447.54
PETROLEO E GAS,27,5,15,5,664500000000.0
SUCROENERGETICO,15,8,0,1,14390000000
AGROINDUSTRIAL,15,3,0,0,1650000000
AUTOMOTIVO,1,0,0,1,10000000000
