uf,total,ouro,prata,pipeline,valor_uf
MG,4249,51,66,61,271602281213.3600001936460155
SP,2976,57,31,110,316494813619.220000000937926
RS,2458,20,5,25,53237082228.909999999398762
PR,1848,18,4,39,42770866007.429999999407555
SC,1759,11,2,29,46996310440.200000001568067
BA,1663,19,8,66,260727703415.539999978831977
MT,1449,7,3,28,48683383323.220000002176337
GO,1092,31,14,15,117685958867.630000020819792
CE,981,5,5,21,89053332321.509999999807634
RJ,944,13,70,50,890462204274.309999999242442
ES,800,2,5,10,66847272348.21000000035687
PA,710,16,5,18,64620440235.040000290983059
PI,575,1,0,28,99059559519.54999998888271
MS,511,7,1,29,83228690760.480000001354304
RN,457,1,7,41,59428941892.95999998868775
RO,422,2,0,9,8981565432.079999999360746
PB,396,3,1,26,30415973549.239999999480442
PE,379,7,3,13,52378341445.610000000121344
TO,297,0,0,8,5090346696.84999999850372
MA,261,0,6,14,36635509950.38999999998906
AM,254,3,0,10,19675111140.1899999952347
SE,163,2,5,4,31097425530.379999999942895
AL,151,2,1,4,4602254815.489999996871745
AP,84,2,0,4,8725099182.0400000010763
AC,57,2,0,8,14597659085.230000000016896
DF,50,5,1,6,23588572224.1599999999435
RR,49,1,0,1,928749496.4100000000016
