entrou_no_banco,id,nome,empresa,uf,municipio,setor,fase,tier,valor_estimado,data_publicacao,data_anuncio,status_licenca,prioridade_analise,analise_manual,observacao_manual
2026-07-04 01:13:11.39189,51c5e71c-bed3-446f-b3a3-71e4f943b7cc,"Obra de Implantação e Pavimentação da PB-387, Trecho: Uiraúna/Poço Zé de Moura/Triunfo, com extensão de 25,50 Km.",DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DA PB,PB,João Pessoa,INFRAESTRUTURA,LICITACAO_ABERTA,PRATA,54373499.55,,2026-06-04,,MEDIA - PRATA,,
2026-07-04 01:13:09.524735,cf6347bc-2441-4fff-873d-7df2b73ba997,"EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO E DRENAGEM EM VIAS LOCALIZADAS NOS ENGENHOS SALGADO E ZÉ POJUCA, NO DISTRITO DE NOSSA SENHORA DO Ó, NO MUNICÍPIO DO IPOJUCA/PE,",MUNICIPIO DE IPOJUCA,PE,Ipojuca,SANEAMENTO,LICITACAO_ABERTA,PIPELINE,37801450.62,,2026-06-04,,ANALISAR,,
2026-07-04 01:12:55.752158,3ad06341-5b3e-4040-a03a-fbd97002c7e5,Saiba mais sobre Mudanças no trânsito: DNIT libera tráfego em parte inferior do viaduto na BR-020/GO em Formosa,,,,INFRAESTRUTURA,LICITACAO_ABERTA,,,,2026-07-04,,REVISAR - SEM EMPRESA,,
2026-07-04 01:12:55.733532,845aa78b-adcf-49d0-ac79-ef8ca2fa03be,"Saiba mais sobre Liberado, nesta sexta-feira (3), tráfego em duas novas pontes da BR-356/MG",,,,INFRAESTRUTURA,LICITACAO_ABERTA,,,,2026-07-04,,REVISAR - SEM EMPRESA,,
2026-07-04 01:08:04.90416,2152e270-b8b8-4abe-8ba8-4f71b84ba31b,"Publicação de despesas de capital para investimentos, com destaque para um valor de R$ 7.500.000,00 para a SESPA.",SEPLAD,PA,,OUTRO,LICITACAO_ABERTA,,7500000.0,,2026-07-04,,REVISAR - SEM TIER,,
2026-07-04 01:04:56.32936,5d487d07-a92a-46d2-8325-5adae6c5ce71,Arrematação de lotes no Leilão de Transmissão nº 01/2026,AXIA Energia S.A.,MS,,ENERGIA,LICITACAO_ABERTA,OURO,668.07,,2026-07-04,,ALTA - OURO,,
2026-07-04 01:04:45.548994,39db28fc-cfdb-46a8-9da4-ecc14ed8af96,PRÉ-QUALIFICAÇÃO DE EMPRESAS QUE REÚNAM CONDIÇÕES DE HABILITAÇÃO TÉCNICA PARA PARTICIPAR DE CONCORRÊNCIA ELETRÔNICA QUE TERÁ POR OBJETO A CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS PARA,MUNICIPIO DE MILAGRES,CE,Milagres,OUTRO,LICITACAO_ABERTA,,0.01,,2025-07-03,,REVISAR - VALOR BAIXO,,
2026-07-04 01:04:45.537076,1184e9e6-830f-41ff-aa4c-9467095c0fa5,"CONTRATAÇÃO DE SERVIÇOS DE LIMPEZA / LAVAGEM DE VEÍCULOS, PARA ATENDER A SECRETARIA MUNICIPAL DE OBRAS, TRANSPORTES E SERVIÇOS PÚBLICOS.",MUNICIPIO DE PONTO DOS VOLANTES,MG,Ponto dos Volantes,INFRAESTRUTURA,LICITACAO_ABERTA,,84500.0,,2025-07-03,,REVISAR - VALOR BAIXO,,
2026-07-04 01:04:45.493656,b79a5e04-81da-454f-b212-ad7914b7e144,Contratação de empresa para prestação de serviço de manutenção preventiva e corretiva em ventiladores mecânicos da Unidade Terapia Intensiva (UTI) da FESP.,FUNDACAO ESTATAL DE SAUDE DO PANTANAL,MS,Coxim,OUTRO,LICITACAO_ABERTA,,167076.67,,2025-06-25,,REVISAR - VALOR BAIXO,,
2026-07-04 01:03:58.777444,56d19c65-a861-4649-a45d-124402f7e37b,DP World investe mais de R$ 2 bilhões para ampliar capacidade e modernizar operações no porto de Santos,DP World,SP,Santos,INFRAESTRUTURA,LICITACAO_ABERTA,,2000000000,,2026-07-03,,ALTA - CAPEX BILIONARIO,,
2026-07-04 01:03:24.567686,d7af8baf-86e9-4477-86eb-f21ea939d9f2,Restauração de quase 900 hectares de Mata Atlântica,BNDES,RJ,,INFRAESTRUTURA,LICITACAO_ABERTA,OURO,76000000,,2026-07-03,,ALTA - OURO,,
2026-07-04 01:02:18.259262,187f4bcb-b8c8-44ab-9d66-7038c9636251,A EMS está expandindo sua capacidade industrial em Manaus com um investimento de R$ 1 bilhão para atender à demanda por medicamentos.,EMS,AM,Manaus,INDUSTRIAL,LICITACAO_ABERTA,,1000000000,,2026-07-03,,ALTA - CAPEX BILIONARIO,,
