bloco,chave,qtd,pct,variantes
B1_BRUTO,Regional Logistics Director | Ambev - LinkedIn,514,,
B1_BRUTO,Diretor,392,,
B1_BRUTO,Gerente de Compras,221,,
B1_BRUTO,Engenheiro de projetos na CTEEP,150,,
B1_BRUTO,Gerente de Suprimentos,131,,
B1_BRUTO,Coordenadora de Suprimentos na HBR Energy,109,,
B1_BRUTO,Procurement Director,91,,
B1_BRUTO,Presidente,74,,
B1_BRUTO,Administrador,72,,
B1_BRUTO,Diretor Comercial na DTA Engenharia,66,,
B1_BRUTO,Rio+ Saneamento BL3 S.A,65,,
B1_BRUTO,Sócio-Administrador,62,,
B1_BRUTO,Strategic Sourcing & Supply Chain,56,,
B1_BRUTO,Supply Chain,54,,
B1_BRUTO,Diretor na Secretaria da Saúde do Estado do ...,51,,
B1_BRUTO,Diretor de Projetos na Vale - LinkedIn,50,,
B1_BRUTO,Compras,47,,
B1_BRUTO,Coordenador de Engenharia at Energisa SA,42,,
B1_BRUTO,Gerente de Marketing Cemig,40,,
B1_BRUTO,Gerente de Tecnologia na Rumo,38,,
B1_BRUTO,Gerente de projetos,34,,
B1_BRUTO,Supply Chain Manager,28,,
B1_BRUTO,Engenheiro Civil,25,,
B1_BRUTO,Engenharia,23,,
B1_BRUTO,Procurement Manager,22,,
B1_BRUTO,Gerente de Suprimentos na VALE S.A.,21,,
B1_BRUTO,Gerente de manutenção,20,,
B1_BRUTO,Engenharia Civil,20,,
B1_BRUTO,Comprador,19,,
B1_BRUTO,Suprimentos,18,,
B1_BRUTO,Partner @ Vertex,18,,
B1_BRUTO,Head de Suprimentos,17,,
B1_BRUTO,Engenharia de projetos,16,,
B1_BRUTO,Gerente de Projetos,16,,
B1_BRUTO,Diretor Executivo de Regulação,16,,
B1_BRUTO,Purchasing Manager,15,,
B1_BRUTO,Gerente de suprimentos,15,,
B1_BRUTO,Diretor Comercial na Exportadora São Francisco,14,,
B1_BRUTO,Gerente geral de engenharia,14,,
B1_BRUTO,Diretor de Operações e Manutenção,14,,
B1_BRUTO,Comprador Sênior,14,,
B1_BRUTO,Gerente de engenharia na CCR S.A.,13,,
B1_BRUTO,Gerente de Compras e Planejamento na MAN-FER ...,13,,
B1_BRUTO,Executivo de Supply Chain & Operações,12,,
B1_BRUTO,Global Head of Procurement at Suzano,12,,
B1_BRUTO,Procurement Manager na M. Dias Branco - LinkedIn,11,,
B1_BRUTO,"Facilitador, articulador com boa ...",11,,
B1_BRUTO,"CEO PEC Energy (controladora Serra da Ibiapaba 4/6/7, Carnaubal CE)",11,,
B1_BRUTO,Head of Procurement,11,,
B1_BRUTO,Project Manager,10,,
B1_BRUTO,Gerente de Suprimentos & Supply Chain,10,,
B1_BRUTO,"Diretor de Suprimentos, Gerente de ...",10,,
B1_BRUTO,Head de Compras,10,,
B1_BRUTO,Engenharia  de Mecanica,10,,
B1_BRUTO,Agis construção s.a,9,,
B1_BRUTO,Coordenador de Subestações e Manutenção (Bandeirantes) — ISA CTEEP,9,,
B1_BRUTO,Diretor de Operações / Engenheiro Eletricista — Grupo Rialma,9,,
B1_BRUTO,Coordenador Regional de Operações (Sarandi) — ISA CTEEP,9,,
B1_BRUTO,Coordenador de Planejamento de Expansão e Estudos — ISA CTEEP,9,,
B1_BRUTO,Supply Chain Manager OPEX,9,,
B1_BRUTO,Senior Procurement Analyst,8,,
B1_BRUTO,Gerente de Manutenção,8,,
B1_BRUTO,Gerente de Engenharia,8,,
B1_BRUTO,Gerente de Supply Chain,7,,
B1_BRUTO,Procurement Department Manager at Petrobras,7,,
B1_BRUTO,Gerente de Compras na EDP Renováveis,7,,
B1_BRUTO,Lead Sourcing Specialist,7,,
B1_BRUTO,Strategic Sourcing,7,,
B1_BRUTO,Engenheiro Civil Especialista em RSU,7,,
B1_BRUTO,CCA+. Conselheira de Adm. da Axia Energia S.A ...,7,,
B1_BRUTO,Commercial Director Towage (Rebocadores) Wilson Sons,7,,
B1_BRUTO,Auren Energia S.A,6,,
B1_BRUTO,Sr Project engineer,6,,
B1_BRUTO,Gerente Industrial,6,,
B1_BRUTO,Gerente de Compras e Suprimentos / Executiva ...,6,,
B1_BRUTO,Comprador CAPEX,6,,
B1_BRUTO,Não especificado,6,,
B1_BRUTO,AVIVAR ALIMENTOS S/A.,6,,
B1_BRUTO,Purchasing Director at Volkswagen Group of ...,5,,
B1_BRUTO,Senior Procurement Manager,5,,
B1_BRUTO,Engenheiro civil,5,,
B1_BRUTO,Executivo de Compras| Gerente de Compras,5,,
B1_BRUTO,Engenheiro Civil Especialista na ...,5,,
B1_BRUTO,Head of Accounting at WEG,5,,
B1_BRUTO,Supply Chain / Procurement / CAPEX / Project and ...,5,,
B1_BRUTO,Engenheiro de Projetos,5,,
B1_BRUTO,Gerente Supply Chain na Louis Dreyfus Company,5,,
B1_BRUTO,--,5,,
B1_BRUTO,Diretor Comercial DP World Santos,5,,
B1_BRUTO,Supervisão,5,,
B1_BRUTO,Sócio da Vértice. Membro titular do Conselho Fiscal ...,5,,
B1_BRUTO,Head de Desenvolvimento e Compras Honda Automóveis (Itirapina),5,,
